舰船名,别名,启用,稀有度@zh（类型：exact）,稀有度@en（类型：exact）,阵营@zh（类型：exact）,阵营@en（类型：exact）,舰种@zh（类型：exact）,舰种@en（类型：exact）,舰级@zh（类型：exact）,舰级@en（类型：exact）,建造时间@zh（类型：ordered）,实装活动@zh（类型：ordered）,实装活动@en（类型：ordered）
泛用型布里,Universal Bulin,是,精锐,Elite,其他,Universal,驱逐,DD,布里,Bulin,无法建造,无活动,No Event
试作型布里MKII,Trial Bulin MKII、Prototype Bulin MKII,是,超稀有,Super Rare,其他,Universal,驱逐,DD,布里,Bulin,无法建造,无活动,No Event
特装型布里MKIII,Specialized Bulin MKIII、Specialized Bulin Custom MKIII,是,海上传奇,Ultra Rare,其他,Universal,驱逐,DD,布里,Bulin,无法建造,无活动,No Event
杜威,Dewey,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,法拉格特级,Farragut,无法建造,无活动,No Event
卡辛,Cassin,是,普通,Normal,白鹰,Eagle Union,驱逐,DD,马汉级,Mahan,00:23:00,无活动,No Event
唐斯,Downes,是,普通,Normal,白鹰,Eagle Union,驱逐,DD,马汉级,Mahan,00:23:00,无活动,No Event
格里德利,Gridley,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,格里德利级,Gridley,无法建造,无活动,No Event
克雷文,Craven,是,普通,Normal,白鹰,Eagle Union,驱逐,DD,格里德利级,Gridley,00:25:00,无活动,No Event
麦考尔,McCall,是,普通,Normal,白鹰,Eagle Union,驱逐,DD,格里德利级,Gridley,00:25:00,无活动,No Event
莫里,Maury,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,格里德利级,Gridley,00:25:00,无活动,No Event
弗莱彻,Fletcher,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,无活动,No Event
威廉·D·波特,William D. Porter,是,海上传奇,Ultra Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,2025-12-18 响彻于天穹之音,2025-12-18 A Note Through the Firmament
查尔斯·奥斯本,Charles Ausburne,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,无活动,No Event
撒切尔,Thatcher,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,无活动,No Event
奥利克,Aulick,是,普通,Normal,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,无活动,No Event
富特,Foote,是,普通,Normal,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,无活动,No Event
斯彭斯,Spence,是,普通,Normal,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,无活动,No Event
本森,Benson,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,本森级,Benson,无法建造,无活动,No Event
拉菲,Laffey,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,本森级,Benson,00:27:00,无活动,No Event
西姆斯,Sims,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,西姆斯级,Sims,无法建造,无活动,No Event
哈曼,Hammann,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,西姆斯级,Sims,00:26:00,无活动,No Event
埃尔德里奇,Eldridge,是,超稀有,Super Rare,白鹰,Eagle Union,驱逐,DD,坎农级,Cannon,无法建造,无活动,No Event
贝利,Bailey,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,本森级,Benson,无法建造,无活动,No Event
拉德福特,Radford,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,无活动,No Event
杰金斯,Jenkins,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,无活动,No Event
尼古拉斯,Nicholas,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,无活动,No Event
布什,Bush,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,无活动,No Event
黑泽伍德,Hazelwood,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,无活动,No Event
贝奇,Bache,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,无活动,No Event
霍比,Hobby,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,本森级,Benson,00:27:00,2018-10-25 复刻：坠落之翼,2018-10-25 Fallen Wings
科尔克,Kalk,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,本森级,Benson,00:27:00,2018-10-25 复刻：坠落之翼,2018-10-25 Fallen Wings
金伯利,Kimberly,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,2019-01-31 闹腾嬉戏东煌春节,2019-01-31 Lunar New Year 2019
马拉尼,Mullany,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,2019-01-31 闹腾嬉戏东煌春节,2019-01-31 Lunar New Year 2019
艾尔温,Aylwin,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,法拉格特级,Farragut,无法建造,2019-07-31 箱庭疗法,2019-07-31 Ashen Simulacrum
斯坦利,Stanly,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,无活动,No Event
斯莫利,Smalley,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,无活动,No Event
哈尔西·鲍威尔,Halsey Powell,是,稀有,Rare,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,2020-01-21 战斗！皇家女仆队2nd,"2020-01-21 Fight On, Royal Maids!"
库珀,Cooper,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,艾伦·M·萨姆纳级,Allen M. Sumner,00:29:00,2020-03-26 微层混合,2020-03-26 Microlayer Medley
艾伦·萨姆纳,Allen M. Sumner,是,超稀有,Super Rare,白鹰,Eagle Union,驱逐,DD,艾伦·M·萨姆纳级,Allen M. Sumner,00:29:00,2021-03-25 复刻：箱庭疗法,2021-03-25 Ashen Simulacrum Rerun
史蒂芬·波特,Stephen Potter,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,2021-03-25 复刻：箱庭疗法,2021-03-25 Ashen Simulacrum Rerun
莫里森,赛普拉斯、Morrison,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,2021-05-27 镜位螺旋,2021-05-27 Mirror Involution
英格拉罕,格拉哈姆、Ingraham,是,超稀有,Super Rare,白鹰,Eagle Union,驱逐,DD,艾伦·M·萨姆纳级,Allen M. Sumner,00:29:00,2021-08-19 复刻：微层混合,2021-08-19 Microlayer Medley Rerun
布里斯托尔,Bristol,是,超稀有,Super Rare,白鹰,Eagle Union,驱逐,DD,艾伦·M·萨姆纳级,Allen M. Sumner,00:29:00,2022-01-27 演习神秘事件调查,2022-01-27 Happy Lunar New Year 2022
哈曼II,Hammann II,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,埃德索尔级,Edsall,00:15:00,2022-12-22 定向折叠,2022-12-22 Parallel Superimposition
拉菲II,Laffey II,是,海上传奇,Ultra Rare,白鹰,Eagle Union,驱逐,DD,艾伦·M·萨姆纳级,Allen M. Sumner,无法建造,2023-12-21 星海逐光,2023-12-21 Light-Chasing Sea of Stars
贝尔,Bell,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,2024-08-15 铁翼擎风,2024-08-15 Windborne Steel Wings
米勒,Miller,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,00:28:00,2025-03-27 深谷来信,2025-03-27 Letters from Valley Hospital
克拉伦斯·K·布朗森,Clarence K. Bronson,是,精锐,Elite,白鹰,Eagle Union,驱逐,DD,弗莱彻级,Fletcher,无法建造,2025-12-18 响彻于天穹之音,2025-12-18 A Note Through the Firmament
奥马哈,Omaha,是,普通,Normal,白鹰,Eagle Union,轻巡,CL,奥马哈级,Omaha,01:05:00,无活动,No Event
罗利,Raleigh,是,普通,Normal,白鹰,Eagle Union,轻巡,CL,奥马哈级,Omaha,01:05:00,无活动,No Event
布鲁克林,Brooklyn,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,01:15:00,无活动,No Event
菲尼克斯,Phoenix,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,01:15:00,无活动,No Event
海伦娜,Helena,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,无法建造,无活动,No Event
亚特兰大,Atlanta,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,亚特兰大级,Atlanta,01:10:00,无活动,No Event
朱诺,Juneau,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,亚特兰大级,Atlanta,01:10:00,无活动,No Event
圣地亚哥,圣戴安娜、San Diego,是,超稀有,Super Rare,白鹰,Eagle Union,轻巡,CL,亚特兰大级,Atlanta,01:10:00,无活动,No Event
克利夫兰,Cleveland,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,无法建造,无活动,No Event
哥伦比亚,Columbia,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,无法建造,无活动,No Event
里士满,Richmond,是,普通,Normal,白鹰,Eagle Union,轻巡,CL,奥马哈级,Omaha,无法建造,无活动,No Event
火奴鲁鲁,Honolulu,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,无法建造,无活动,No Event
圣路易斯,St. Louis,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,01:15:00,无活动,No Event
蒙彼利埃,Montpelier,是,超稀有,Super Rare,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:25:00,无活动,No Event
丹佛,Denver,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:25:00,无活动,No Event
孟菲斯,Memphis,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,奥马哈级,Omaha,无法建造,无活动,No Event
康克德,Concord,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,奥马哈级,Omaha,01:05:00,无活动,No Event
小海伦娜,Lena,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,布鲁克林级,Brooklyn,01:10:00,2019-05-30 明日之星•闪亮登场,2019-05-30 There Comes the Future Star!
小克利夫兰,Clevelad,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:20:00,2019-05-30 明日之星•闪亮登场,2019-05-30 There Comes the Future Star!
小圣地亚哥,小圣戴安娜、Li'l Sandy,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,亚特兰大级,Atlanta,无法建造,2019-05-30 明日之星•闪亮登场,2019-05-30 There Comes the Future Star!
圣胡安,San Juan,是,稀有,Rare,白鹰,Eagle Union,轻巡,CL,亚特兰大级,Atlanta,无法建造,2019-07-31 箱庭疗法,2019-07-31 Ashen Simulacrum
伯明翰,Birmingham,是,精锐,Elite,白鹰,Eagle Union,轻巡,CL,克利夫兰级,Cleveland,01:25:00,2019-07-31 箱庭疗法,2019-07-31 Ashen Simulacrum
